Date (MM/DD/YYYY),Hour,Local ET0,Local Humidity,Local Temp(F),CIMIS ET0,CIMIS Humidity,CIMIS Temp (F),Gallons Needed (gal/hr),Time Needed (min),Additional Water (per hour),Water Saved (per hour)
6/11/2019,17,0,50.63378906,78.61402344,None,None,None,None,None,0,1020
6/11/2019,18,0,50.41634154,77.90227558,None,None,None,None,None,0,1020
6/11/2019,19,0.02542388,51.87691512,77.89999964,0.01,44,79.6,0.175142262,0.010302486,0.117961215,1019.824858
6/11/2019,20,0,57.92644756,76.34794779,None,None,None,None,None,0,1020
6/11/2019,21,0,61.1308246,75.53787657,None,None,None,None,None,0,1020
6/11/2019,22,0,59.0441018,76.10306042,0,75,70.8,0,0,0,1020
6/11/2019,23,0,62.56255317,74.60223086,None,None,None,None,None,0,1020
6/12/2019,0,0,63.50024223,73.68115491,None,None,None,None,None,0,1020
6/12/2019,1,0,62.99999953,73.55750154,0,88,66.1,0,0,0,1020
6/12/2019,2,0,62.06542967,73.51758404,None,None,None,None,None,0,1020
6/12/2019,3,0,60.00001526,74.48140204,None,None,None,None,None,0,1020
6/12/2019,4,0,59.99999619,74.47042541,0,92,61.9,0,0,0,1020
Date (MM/DD/YYYY),Hour,Local ET0,Local Humidity,Local Temp(F),CIMIS ET0,CIMIS Humidity,CIMIS Temp (F),Gallons Needed (gal/hr),Time Needed (min),Additional Water (per hour),Water Saved (per hour)
6/13/2019,16,0,58,73.94000017,None,None,None,None,None,0,1020
6/13/2019,17,0,58,74.10875,None,None,None,None,None,0,1020
6/13/2019,18,0,56.65139586,74.29686957,None,None,None,None,None,0,1020
6/13/2019,19,0,104.499941,74.72753262,None,None,None,None,None,0,1020
6/13/2019,20,0,55,74.05232834,None,None,None,None,None,0,1020
6/13/2019,21,0,54.12496948,74.09750051,None,None,None,None,None,0,1020
6/13/2019,22,0,54.00011825,74.11997803,None,None,None,None,None,0,1020
6/13/2019,23,0,54.25000764,73.94000824,None,None,None,None,None,0,1020
6/14/2019,0,0,53.99999945,73.58210938,None,None,None,None,None,0,1020
6/14/2019,1,0,55.87499964,74.2099972,None,None,None,None,None,0,1020
6/14/2019,2,0,55,73.94035431,None,None,None,None,None,0,1020
6/14/2019,3,0,55.99999905,73.58000017,None,None,None,None,None,0,1020
6/14/2019,4,0,56,73.4,None,None,None,None,None,0,1020
6/14/2019,5,0,56,73.04067566,None,None,None,None,None,0,1020
6/14/2019,6,0,56.99914551,72.8600769,None,None,None,None,None,0,1020
6/14/2019,7,0,57,72.86,None,None,None,None,None,0,1020
6/14/2019,8,0,57,73.03947922,None,None,None,None,None,0,1020
6/14/2019,9,0,57,73.03995605,None,None,None,None,None,0,1020
6/14/2019,10,0,106.4676208,62.80531113,None,None,None,None,None,0,1020
